Rank,Bank name,Market cap (US$ billion),Market cap (USA),Market cap (UK),Market cap (Germany),Market cap (China),Market cap (Japan),Market cap (India)
1,JPMorgan Chase,432.92,432.92,336.292256,398.97907200000003,3145.466844,69951.2136,36180.42316
2,Bank of America,231.52,231.52,179.844736,213.368832,1682.154864,37409.0016,19348.82096
3,Industrial and Commercial Bank of China,194.56,194.56,151.134208,179.306496,1413.614592,31437.004800000002,16259.96288
4,Agricultural Bank of China,160.68,160.68,124.81622400000002,148.082688,1167.452676,25962.674400000004,13428.50964
5,HDFC Bank,157.91,157.91,122.664488,145.529856,1147.326687,25515.097800000003,13197.012429999999
6,Wells Fargo,155.87,155.87,121.07981600000001,143.649792,1132.504659,25185.4746,13026.523509999999
7,HSBC Holdings PLC,148.9,148.9,115.66552000000001,137.22624,1081.86273,24059.262000000002,12444.019699999999
8,Morgan Stanley,140.83,140.83,109.39674400000001,129.788928,1023.2285310000001,22755.311400000002,11769.58559
9,China Construction Bank,139.82,139.82,108.612176,128.85811199999998,1015.8901739999999,22592.1156,11685.176859999998
10,Bank of China,136.81,136.81,106.27400800000001,126.084096,994.020417,22105.759800000003,11433.62213
