Rank,Bank name,Total assets (2022) (US$ billion)
1,Industrial and Commercial Bank of China Limited,5742.86
2,China Construction Bank,5016.81
3,Agricultural Bank of China,4919.03
4,Bank of China,4192.12
5,JPMorgan Chase,3868.24
6,Bank of America,3051.38
7,Mitsubishi UFJ Financial Group,2967.91
8,HSBC,2864.59
9,BNP Paribas,2849.61
10,Crédit Agricole,2542.61
11,Citigroup Inc.,2416.68
12,Postal Savings Bank of China,2039.56
13,SMBC Group,2006.75
14,Mizuho Financial Group,1909.35
15,Bank of Communications,1883.72
16,Wells Fargo,1881.02
17,Banco Santander,1853.86
18,Barclays,1823.84
19,Japan Post Bank,1719.92
20,UBS,1679.36
21,Groupe BPCE,1636.35
22,Société Générale,1588.99
23,Royal Bank of Canada,1544.17
24,Toronto-Dominion Bank,1524.83
25,China Merchants Bank,1470.0
26,Goldman Sachs,1441.8
27,Deutsche Bank,1428.65
28,Industrial Bank (China),1343.54
29,China CITIC Bank,1239.28
30,Shanghai Pudong Development Bank,1184.28
31,Morgan Stanley,1180.23
32,Crédit Mutuel,1180.22
33,Lloyds Banking Group,1057.69
34,China Minsheng Bank,1051.97
35,Intesa Sanpaolo,1042.73
36,ING Group,1034.32
37,Scotiabank,1029.8
38,UniCredit,916.72
39,China Everbright Bank,913.49
40,NatWest Group,867.59
41,Bank of Montreal,859.05
42,Commonwealth Bank,837.21
43,Standard Chartered,819.92
44,La Banque postale,796.88
45,Ping An Bank,771.55
46,Banco Bilbao Vizcaya Argentaria,762.15
47,Norinchukin Bank,753.26
48,State Bank of India,694.94
49,Canadian Imperial Bank of Commerce,691.31
50,National Australia Bank,679.76
51,U.S.Bancorp,674.81
52,Rabobank,671.7
53,DZ Bank,670.13
54,Australia and New Zealand Banking Group,669.66
55,Westpac,653.39
56,Nordea,635.72
57,CaixaBank,604.03
58,Sberbank of Russia,566.07
59,KB Financial Group Inc,557.54
60,PNC Financial Services,557.26
61,Resona Holdings,557.1
62,Truist Financial Corp,555.26
63,DBS Bank,554.4
64,Danske Bank,540.66
65,Huaxia Bank,540.04
66,Shinhan Bank,537.44
67,China Guangfa Bank,528.91
68,Sumitomo Mitsui Trust Holdings,516.83
69,Commerzbank,510.25
70,Capital One,455.25
71,Hana Financial Group,452.34
72,Bank of Beijing,447.54
73,Itaú Unibanco,439.5
74,OCBC Bank,417.61
75,Nonghyup Bank,417.37
76,Bank of Jiangsu,410.83
77,The Bank of New York Mellon,405.78
78,ABN AMRO,405.67
79,Bank of Shanghai,405.13
80,Woori Bank,382.05
81,KBC Bank,380.33
82,China Zheshang Bank,380.14
83,Banco do Brasil,379.78
84,United Overseas Bank,376.07
85,Nomura Holdings,373.41
86,Landesbank Baden-Württemberg,346.45
87,Erste Group,346.12
88,Industrial Bank of Korea,343.49
89,Bank of Ningbo,343.05
90,Banco Bradesco,340.41
91,SEB Group,338.91
92,VTB Bank,335.11
93,Handelsbanken,331.32
94,DNB ASA,328.5
95,Qatar National Bank,323.56
96,National Bank of Canada,312.67
97,Macquarie Group,313.47
98,Nationwide Building Society,311.93
99,Raiffeisen Gruppe,303.5
100,First Abu Dhabi Bank,302.22
